name,planzone1957,agency
Ashford,0,none
Barkhamsted,0,none
Bridgewater,0,none
Brookfield,0,none
Brooklyn,0,none
Canaan,0,none
Canterbury,0,none
Chaplin,0,none
Chester,0,none
Clinton,0,none
Deep River,0,none
East Haddam,0,none
Eastford,0,none
Franklin,0,none
Goshen,0,none
Griswold,0,none
Hampton,0,none
Hartland,0,none
Lebanon,0,none
Ledyard,0,none
Lisbon,0,none
Litchfield,0,none
Montville,0,none
Norfolk,0,none
North Canaan,0,none
North Stonington,0,none
Plainfield,0,none
Pomfret,0,none
Preston,0,none
Prospect,0,none
Salem,0,none
Scotland,0,none
Sharon,0,none
Sterling,0,none
Thompson,0,none
Voluntown,0,none
Willington,0,none
Windham,0,none
Beacon Falls,1,Planning
Bethlehem,1,Planning
Canton,1,Planning
Essex,1,Planning
Kent,1,Planning
Mansfield,1,Planning
Middlefield,1,Planning
Morris,1,Planning
New Milford,1,Planning
Stafford,1,Planning
Thomaston,1,Planning
Torrington,1,Planning
Woodbury,1,Planning
Andover,3,Planning and Zoning
Ansonia,3,Planning and Zoning
Avon,3,Planning and Zoning
Berlin,3,Planning and Zoning
Bethany,3,Planning and Zoning
Bethel,3,Planning and Zoning
Bloomfield,3,Planning and Zoning
Bolton,3,Planning and Zoning
Bozrah,3,Planning and Zoning
Branford,3,Planning and Zoning
Bridgeport,3,Planning and Zoning
Bristol,3,Planning and Zoning
Burlington,3,Planning and Zoning
Cheshire,3,Planning and Zoning
Colchester,3,Planning and Zoning
Columbia,3,Planning and Zoning
Cornwall,3,Planning and Zoning
Coventry,3,Planning and Zoning
Cromwell,3,Planning and Zoning
Danbury,3,Planning and Zoning
Darien,3,Planning and Zoning
Derby,3,Planning and Zoning
Durham,3,Planning and Zoning
East Granby,3,Planning and Zoning
East Hampton,3,Planning and Zoning
East Hartford,3,Planning and Zoning
East Haven,3,Planning and Zoning
East Lyme,3,Planning and Zoning
East Windsor,3,Planning and Zoning
Easton,3,Planning and Zoning
Ellington,3,Planning and Zoning
Enfield,3,Planning and Zoning
Fairfield,3,Planning and Zoning
Farmington,3,Planning and Zoning
Glastonbury,3,Planning and Zoning
Granby,3,Planning and Zoning
Greenwich,3,Planning and Zoning
Groton,3,Planning and Zoning
Guilford,3,Planning and Zoning
Haddam,3,Planning and Zoning
Hamden,3,Planning and Zoning
Hartford,3,Planning and Zoning
Killingly,3,Planning and Zoning
Madison,3,Planning and Zoning
Manchester,3,Planning and Zoning
Marlborough,3,Planning and Zoning
Meriden,3,Planning and Zoning
Middlebury,3,Planning and Zoning
Middletown,3,Planning and Zoning
Milford,3,Planning and Zoning
Monroe,3,Planning and Zoning
Naugatuck,3,Planning and Zoning
New Britain,3,Planning and Zoning
New Canaan,3,Planning and Zoning
New Fairfield,3,Planning and Zoning
New Hartford,3,Planning and Zoning
New Haven,3,Planning and Zoning
New London,3,Planning and Zoning
Newington,3,Planning and Zoning
Newtown,3,Planning and Zoning
North Branford,3,Planning and Zoning
North Haven,3,Planning and Zoning
Norwalk,3,Planning and Zoning
Norwich,3,Planning and Zoning
Old Lyme,3,Planning and Zoning
Old Saybrook,3,Planning and Zoning
Orange,3,Planning and Zoning
Plainville,3,Planning and Zoning
Portland,3,Planning and Zoning
Putnam,3,Planning and Zoning
Redding,3,Planning and Zoning
Rocky Hill,3,Planning and Zoning
Salisbury,3,Planning and Zoning
Seymour,3,Planning and Zoning
Sherman,3,Planning and Zoning
Simsbury,3,Planning and Zoning
Somers,3,Planning and Zoning
South Windsor,3,Planning and Zoning
Southbury,3,Planning and Zoning
Southington,3,Planning and Zoning
Sprague,3,Planning and Zoning
Stamford,3,Planning and Zoning
Stratford,3,Planning and Zoning
Suffield,3,Planning and Zoning
Tolland,3,Planning and Zoning
Trumbull,3,Planning and Zoning
Vernon,3,Planning and Zoning
Wallingford,3,Planning and Zoning
Washington,3,Planning and Zoning
Waterbury,3,Planning and Zoning
Waterford,3,Planning and Zoning
Watertown,3,Planning and Zoning
West Hartford,3,Planning and Zoning
West Haven,3,Planning and Zoning
Westbrook,3,Planning and Zoning
Weston,3,Planning and Zoning
Westport,3,Planning and Zoning
Wethersfield,3,Planning and Zoning
Wilton,3,Planning and Zoning
Winchester,3,Planning and Zoning
Windsor,3,Planning and Zoning
Windsor Locks,3,Planning and Zoning
Woodbridge,3,Planning and Zoning
Woodstock,3,Planning and Zoning
Colebrook,2,Zoning
Harwinton,2,Zoning
Hebron,2,Zoning
Killingworth,2,Zoning
Lyme,2,Zoning
Oxford,2,Zoning
Plymouth,2,Zoning
Ridgefield,2,Zoning
Roxbury,2,Zoning
Shelton,2,Zoning
Stonington,2,Zoning
Union,2,Zoning
Warren,2,Zoning
Wolcott,2,Zoning